"codice isil";"denominazione biblioteca";"tipologia funzionale";"denominazione ente";"tipologia amministrativa"
"IT-MI1075";"Biblioteca dell'Unione femminile nazionale";"Specializzata";"Unione femminile nazionale";"Accademie, associazioni, fondazioni, istituti (pubblici)"
"IT-MI1076";"Biblioteca della Fondazione Gustavo Sanvenero-Rosselli";"Di conservazione";"Fondazione Gustavo Sanvenero-Rosselli";"Accademie, associazioni, fondazioni, istituti, societa' (privati)"
"IT-MI1078";"Biblioteca della Società numismatica italiana";"Specializzata";"Società numismatica italiana";"Accademie, associazioni, fondazioni, istituti (pubblici)"
"IT-MI1080";"Biblioteca della Fondazione Felicita ed Enrico Bignaschi e figli";"Specializzata";"Fondazione Felicita ed Enrico Bignaschi e figli";"Accademie, associazioni, fondazioni, istituti (pubblici)"
"IT-MI1089";"Mediateca di Milano Civica Scuola di Musica";"Specializzata";"Scuole Civiche di Milano - Fondazione di partecipazione S.d.p.";"Accademie, associazioni, fondazioni, istituti (pubblici)"
"IT-MI1091";"Biblioteca della Civica scuola di liuteria";"Specializzata";"Comune di Milano. Civica scuola di liuteria";"Comune"
"IT-MI1095";"Biblioteca dell'Istituto di matematica applicata e tecnologie informatiche del CNR";"Specializzata";"Consiglio nazionale delle ricerche - CNR. Istituto di matematica applicata e tecnologie informatiche. Sezione di Milano";"Aziende ed amministrazioni dello stato ad ordinamento autonomo"
"IT-MI1098";"Biblioteca del Centro Inox";"Specializzata";"Centro Inox";"Accademie, associazioni, fondazioni, istituti, societa' (privati)"
"IT-MI1101";"Biblioteca della Fondazione Corrente";"Specializzata";"Fondazione Corrente";"Accademie, associazioni, fondazioni, istituti (pubblici)"
"IT-MI1113";"Biblioteca della Nuova accademia di belle arti - NABA";"Specializzata";"Nuova accademia di belle arti - NABA";"Accademie, associazioni, fondazioni, istituti (pubblici)"
"IT-MI1123";"Archivio delle tesi di laurea dell'Università degli studi di Milano";"Istituto di insegnamento superiore";"Università degli studi di Milano. Archivio delle tesi di laurea";"Universita' statali"
"IT-MI1124";"Biblioteca Il Quadrato di Baranzate";"Pubblica";"Comune di Baranzate";"Comune"
"IT-MI1128";"Biblioteca del Polo di lingue e letterature straniere - Centro studi Stati Uniti dell'Università degli studi di Milano";"Istituto di insegnamento superiore";"Università degli studi di Milano. Polo di lingue e letterature straniere";"Universita' statali"
"IT-MI1129";"Biblioteca Alberto Malliani dell'Università degli studi di Milano";"Istituto di insegnamento superiore";"Università degli studi di Milano. Facoltà di medicina e chirurgia. Polo didattico di Vialba";"Universita' statali"
"IT-MI1134";"Biblioteca del Dipartimento di sanità pubblica, microbiologia, virologia dell'Università degli studi di Milano";"Istituto di insegnamento superiore";"Università degli studi di Milano. Facoltà di medicina e chirurgia. Istituto di igiene";"Universita' statali"
"IT-MI1140";"Biblioteca del Monastero S. Benedetto";"Specializzata";"Benedettine dell'Adorazione perpetua del SS. Sacramento. Monastero S. Benedetto di Milano";"Enti ecclesiastici"
"IT-MI1141";"Biblioteca Oblati missionari";"Specializzata";"Oblati missionari. Collegio di Rho";"Enti ecclesiastici"
"IT-MI1142";"Biblioteca Benedettine Abbazia Viboldone";"Specializzata";"Benedettine. Monastero SS. Pietro e Paolo di Viboldone di San Giuliano";"Enti ecclesiastici"
"IT-MI1144";"Biblioteca del Museo Poldi Pezzoli. Sezione moderna";"Specializzata";"Fondazione artistica Poldi Pezzoli";"Accademie, associazioni, fondazioni, istituti (pubblici)"
"IT-MI1146";"Bibliobus";"Pubblica";"Comune di Milano";"Comune"
"IT-MI1152";"Biblioteca della Scuola universitaria di discipline infermieristiche - SUDI della Facoltà di medicina e chirurgia dell'Università degli studi di Milano";"Istituto di insegnamento superiore";"Università degli studi di Milano.Facoltà di medicina e chirurgia. Scuola universitaria di discipline infermieristiche - SUDI";"Universita' statali"
"IT-MI1154";"Biblioteca Bovisa Candiani del Politecnico di Milano";"Istituto di insegnamento superiore";"Politecnico di Milano";"Universita' statali"
"IT-MI1165";"Biblioteca e Archivio della Parrocchia prepositurale S. Francesco di Paola";"Specializzata";"Arcidiocesi di Milano. Parrocchia prepositurale S. Francesco di Paola";"Enti ecclesiastici"
"IT-MI1167";"Biblioteca della parrocchia Ss. Martiri Nazaro e Celso";"Pubblica";"Arcidiocesi di Milano. Parrocchia Ss. Martiri Nazaro e Celso";"Enti ecclesiastici"
"IT-MI1170";"Biblioteca della Parrocchia di S. Babila";"Specializzata";"Arcidiocesi di Milano. Parrocchia di S. Babila";"Enti ecclesiastici"
"IT-MI1174";"Biblioteca del Dipartimento di scienze della terra Ardito Desio. Sezione di geologia e paleontologia dell'Università degli studi di Milano";"Istituto di insegnamento superiore";"Università degli studi di Milano. Dipartimento di scienze della terra Ardito Desio";"Universita' statali"
"IT-MI1175";"Biblioteca d'Ateneo. Sede centrale dell'Università degli studi di Milano-Bicocca";"Istituto di insegnamento superiore";"Università degli studi di Milano-Bicocca";"Universita' statali"
"IT-MI1179";"Biblioteca del Museo dell'assicurazione";"Di conservazione";"Museo dell'assicurazione ETS";"Accademie, associazioni, fondazioni, istituti, societa' (privati)"
"IT-MI1181";"Biblioteca dell'Accademia dei filodrammatici";"Specializzata";"Accademia dei filodrammatici";"Accademie, associazioni, fondazioni, istituti (pubblici)"
"IT-MI1182";"Biblioteca comunale di Bubbiano";"Pubblica";"Comune di Bubbiano";"Comune"
"IT-MI1185";"Biblioteca comunale";"Pubblica";"Comune di Cusago";"Comune"
"IT-MI1186";"Biblioteca comunale di Liscate";"Pubblica";"Comune di Liscate";"Comune"
"IT-MI1187";"Biblioteca comunale rionale Cassina Anna";"Pubblica";"Comune di Milano";"Comune"
"IT-MI1188";"Biblioteca comunale rionale Fra Cristoforo";"Pubblica";"Comune di Milano";"Comune"
"IT-MI1190";"Biblioteca ""A. Juretich"" Triante";"Pubblica";"Comune di Monza";"Comune"
"IT-MI1191";"Biblioteca comunale ""don Luigi Negri""";"Pubblica";"Comune di Rosate";"Comune"
"IT-MI1193";"Centro di documentazione Omologie";"Specializzata";"Arcigay Centro di iniziativa gay";"Accademie, associazioni, fondazioni, istituti, societa' (privati)"
"IT-MI1194";"Archivio OUTIS - Centro Nazionale di Drammaturgia Contemporanea";"Specializzata";"Centro nazionale di drammaturgia contemporanea";"Accademie, associazioni, fondazioni, istituti (pubblici)"
"IT-MI1196";"Biblioteca della Fondazione Anna Kuliscioff ETS";"Specializzata";"Fondazione Anna Kuliscioff ETS";"Accademie, associazioni, fondazioni, istituti (pubblici)"
"IT-MI1199";"Biblioteca dell'Azienda ospedaliera di Melegnano Ospedale Ambrogio Uboldo";"Specializzata";"Azienda ospedaliera di Melegnano";"Aziende ed amministrazioni dello stato ad ordinamento autonomo"
"IT-MI1202";"Centro di documentazione per l'educazione alla salute";"Specializzata";"Azienda sanitaria locale - ASL della provincia di Milano 1. Distretto 3";"Aziende ed enti del servizio sanitario nazionale"
"IT-MI1205";"Centro di formazione permanente della Fondazione Istituto Sacra Famiglia";"Specializzata";"Fondazione Istituto Sacra Famiglia ONLUS";"Accademie, associazioni, fondazioni, istituti, societa' (privati)"
"IT-MI1206";"Biblioteca della Associazione Bibliolavoro";"Specializzata";"Fondazione regionale Pietro Seveso";"Accademie, associazioni, fondazioni, istituti, societa' (privati)"
"IT-MI1210";"Biblioteca Scientifica della Fondazione don Carlo Gnocchi";"Specializzata";"Fondazione don Carlo Gnocchi ONLUS";"Accademie, associazioni, fondazioni, istituti, societa' (privati)"
"IT-MI1211";"Biblioteca dell'Associazione nazionale alpini - ANA";"Specializzata";"Associazione nazionale alpini - ANA";"Accademie, associazioni, fondazioni, istituti (pubblici)"
"IT-MI1216";"BIBLIOTECA AGIS LOMBARDA";"Specializzata";"Associazione generale italiana dello spettacolo - AGIS. Unione regionale lombarda";"Accademie, associazioni, fondazioni, istituti, societa' (privati)"
"IT-MI1217";"Biblioteca dell'Ospedale Fatebenefratelli e Oftalmico";"Specializzata";"Azienda ospedaliera Fatebenefratelli e Oftalmico";"Aziende ed amministrazioni dello stato ad ordinamento autonomo"
"IT-MI1218";"Biblioteca dell'Istituto europeo di oncologia";"Specializzata";"Istituto europeo di oncologia";"Accademie, associazioni, fondazioni, istituti, societa' (privati)"
"IT-MI1224";"Biblioteca del Polo di mediazione interculturale e comunicazione - Sezione CTU dell'Università degli studi di Milano";"Istituto di insegnamento superiore";"Università degli studi di Milano";"Universita' statali"
"IT-MI1230";"Biblioteca del Dipartimento giuridico-politico dell'Università degli studi di Milano";"Istituto di insegnamento superiore";"Università degli studi di Milano. Dipartimento giuridico-politico";"Universita' statali"
"IT-MI1231";"Biblioteca del Dipartimento di diritto pubblico italiano e sovranazionale - sezione di Diritto internazionale dell'Università degli studi di Milano";"Istituto di insegnamento superiore";"Università degli studi di Milano. Dipartimento di diritto pubblico italiano e sovranazionale";"Universita' statali"
"IT-MI1232";"Biblioteca dell'Istituto di diritto commerciale della Facoltà di giurisprudenza dell'Università degli studi di Milano";"Istituto di insegnamento superiore";"Università degli studi di Milano. Facoltà di giurisprudenza. Istituto di diritto commerciale";"Universita' statali"
"IT-MI1233";"Biblioteca dell'Istituto di diritto civile della Facoltà di giurisprudenza dell'Università degli studi di Milano";"Istituto di insegnamento superiore";"Università degli studi di Milano. Facoltà di giurisprudenza. Istituto di diritto civile";"Universita' statali"
"IT-MI1235";"Biblioteca del Polo di lingue e letterature straniere - sezione di Lingua e e letteratura francese e dei paesi francofoni dell'Università degli studi di Milano";"Istituto di insegnamento superiore";"Università degli studi di Milano. Polo di lingue e letterature straniere";"Universita' statali"
"IT-MI1236";"Biblioteca del Polo di lingue e letterature straniere - Sezione di lingue e letterature iberiche e ibero-americane dell'Università degli studi di Milano";"Istituto di insegnamento superiore";"Università degli studi di Milano. Polo di lingue e letterature straniere - Sezione di lingue e letterature iberiche e ibero-americane dell'Università degli studi di Milano";"Universita' statali"
"IT-MI1237";"Biblioteca del Polo di lingue e letterature straniere - sezione di Anglistica e di Comparatistica dell'Università degli studi di Milano";"Istituto di insegnamento superiore";"Università degli studi di Milano. Polo di lingue e letterature straniere";"Universita' statali"
"IT-MI1238";"Biblioteca dell'Istituto di diritto penale e processuale penale della Facoltà di giurisprudenza dell'Università degli studi di Milano";"Istituto di insegnamento superiore";"Università degli studi di Milano. Facoltà di giurisprudenza. Istituto di diritto penale e processuale penale";"Universita' statali"
"IT-MI1239";"Biblioteca del Dipartimento di storia delle arti, della musica e dello spettacolo. Sezione storia dell'arte. dell'Università degli studi di Milano";"Istituto di insegnamento superiore";"Università degli studi di Milano. Dipartimento di storia delle arti, della muica e dello spettacolo";"Universita' statali"
"IT-MI1240";"Biblioteca del Dipartimento di studi del lavoro dell'Università degli studi di Milano";"Istituto di insegnamento superiore";"Università degli studi di Milano. Dipartimento di studi del lavoro";"Universita' statali"
"IT-MI1241";"Biblioteca del Polo di lingue e letterature straniere - sezione di Lingue e letterature dell'Europa orientale dell'Università degli studi di Milano";"Istituto di insegnamento superiore";"Università degli studi di Milano. Polo di lingue e letterature straniere";"Universita' statali"
"IT-MI1242";"Biblioteca del Dipartimento di storia delle arti, della musica e dello spettacolo. Sezione discipline musicologiche e dello spettacolo dell'Università degli studi di Milano";"Istituto di insegnamento superiore";"Università degli studi di Milano. Dipartimento di storia delle arti, della musica e dello spettacolo";"Universita' statali"
"IT-MI1243";"Biblioteca del polo di lingue e letterature straniere - Sezione di Germanistica dell'Università degli studi di Milano";"Istituto di insegnamento superiore";"Università degli studi di Milano. Polo di lingue e letterature straniere";"Universita' statali"
"IT-MI1244";"Biblioteca dell'Istituto di storia del diritto medievale e moderno della Facoltà di giurisprudenza dell'Università degli studi di Milano";"Istituto di insegnamento superiore";"Università degli studi di Milano. Facoltà di giurisprudenza. Istituto di storia del diritto medievale e moderno";"Universita' statali"
"IT-MI1245";"Biblioteca dell'Istituto di scienze economiche e statistiche della Facoltà di giurisprudenza dell'Università degli studi di Milano";"Istituto di insegnamento superiore";"Università degli studi di Milano. Facoltà di giurisprudenza. Istituto di scienze economiche";"Universita' statali"
"IT-MI1246";"Biblioteca del Dipartimento di diritto pubblico italiano e sovranazionale - sezione di Diritto pubblico dell'Università degli studi di Milano";"Istituto di insegnamento superiore";"Università degli studi di Milano. Dipartimento di diritto pubblico italiano e sovranazionale";"Universita' statali"
"IT-MI1247";"Biblioteca del Dipartimento di diritto pubblico italiano e sovranazionale - sezione di Diritto processuale civile dell'Università degli studi di Milano";"Istituto di insegnamento superiore";"Università degli studi di Milano. Dipartimento di diritto pubblico italiano e sovranazionale";"Universita' statali"
"IT-MI1248";"Biblioteca dell'Istituto di diritto romano della Facoltà di giurisprudenza dell'Università degli studi di Milano";"Istituto di insegnamento superiore";"Università degli studi di Milano. Facoltà di giurisprudenza. Istituto di diritto romano";"Universita' statali"
"IT-MI1249";"Biblioteca di scienze politiche Enrica Collotti Pischel - sezione di Studi internazionali dell'Università degli studi di Milano Biblioteca di scienze politiche Enrica Collotti Pischel dell'Universit";"Istituto di insegnamento superiore";"Università degli studi di Milano. Dipartimento di studi internazionali";"Universita' statali"
"IT-MI1250";"Biblioteca dell'Istituto di filosofia e sociologia del diritto della Facoltà di giurisprudenza dell'Università degli studi di Milano";"Istituto di insegnamento superiore";"Università degli studi di Milano. Facoltà di giurisprudenza. Istituto di filosofia e sociologia del diritto";"Universita' statali"
"IT-MI1251";"Biblioteca dell'Istituto di diritto del lavoro della Facoltà di giurisprudenza dell'Università degli studi di Milano";"Istituto di insegnamento superiore";"Università degli studi di Milano. Facoltà di giurisprudenza. Istituto di diritto del lavoro";"Universita' statali"
"IT-MI1252";"Biblioteca di Studi Giuridici e Umanistici - Geografia dell'Università degli studi di Milano";"Istituto di insegnamento superiore";"Università degli studi di Milano";"Universita' statali"
"IT-MI1254";"Biblioteca del Dipartimento di scienze della terra Ardito Desio. Sezione di geofisica dell'Università degli studi di Milano";"Istituto di insegnamento superiore";"Università degli studi di Milano. Dipartimento di scienze della terra Ardito Desio";"Universita' statali"
"IT-MI1255";"Biblioteca del Dipartimento di scienze della terra Ardito Desio. Sezione di mineralogia, petrografia, geochimica e giacimenti minerari dell'Università degli studi di Milano";"Istituto di insegnamento superiore";"Università degli studi di Milano. Dipartimento di scienze della terra Ardito Desio";"Universita' statali"
"IT-MI1256";"Biblioteca di Scienze dell'antichità e filologia moderna";"Istituto di insegnamento superiore";"Università degli studi di Milano";"Universita' statali"
"IT-MI1257";"Biblioteca del Dipartimento di scienze economiche, aziendali e statistiche";"Istituto di insegnamento superiore";"Università degli studi di Milano. Dipartimento di economia politica e aziendale";"Universita' statali"
"IT-MI1258";"Biblioteca del Polo di mediazione interculturale e comunicazione di Sesto San Giovanni dell'Università degli studi di Milano";"Istituto di insegnamento superiore";"Università degli studi di Milano";"Universita' statali"
"IT-MI1259";"Centro di documentazione del Dipartimento di studi sociali e politici dell'Università degli studi di Milano";"Istituto di insegnamento superiore";"Università degli studi di Milano. Dipartimento di studi sociali e politici";"Universita' statali"
"IT-MI1261";"Biblioteca di filosofia dell'Università degli studi di Milano";"Istituto di insegnamento superiore";"Università degli studi di Milano. Dipartimento di filosofia";"Universita' statali"
"IT-MI1262";"Biblioteca di Scienze della storia e della documentazione storica dell'Università degli studi di Milano";"Istituto di insegnamento superiore";"Università degli studi di Milano";"Universita' statali"
"IT-MI1264";"Biblioteca del Polo San Paolo della Facoltà di medicina e chirurgia dell'Università degli studi di Milano";"Istituto di insegnamento superiore";"Università degli studi di Milano. Facoltà di medicina e chirurgia";"Universita' statali"
"IT-MI1265";"Biblioteca del Polo San Paolo. Sezione odontoiatria della Facoltà di medicina e chirurgia dell'Università degli studi di Milano";"Istituto di insegnamento superiore";"Università degli studi di Milano. Facoltà di medicina e chirurgia. Polo S. Paolo";"Universita' statali"
"IT-MI1273";"Biblioteca di Storia dell'arte, della musica e dello spettacolo";"Istituto di insegnamento superiore";"Università degli studi di Milano";"Universita' statali"
"IT-MI1274";"Biblioteca del Dipartimento di patologia animale, igiene e sanità pubblica veterinaria dell'Università degli studi di Milano";"Istituto di insegnamento superiore";"Università degli studi di Milano. Dipartimento di patologia animale, igiene e sanità pubblica veterinaria";"Universita' statali"
"IT-MI1275";"Biblioteca del Dipartimento di scienze neurologiche dell'Università degli studi di Milano";"Istituto di insegnamento superiore";"Università degli studi di Milano. Dipartimento di scienze neurologiche";"Universita' statali"
"IT-MI1276";"Biblioteca del Dipartimento di scienze chirurgiche dell'Università degli studi di Milano";"Istituto di insegnamento superiore";"Università degli studi di Milano. Dipartimento di scienze chirurgiche";"Universita' statali"
"IT-MI1277";"Biblioteca del Dipartimento di scienze chirurgiche specialistiche - Sez. otorinolaringologia e oftalmologia - Università degli studi di Milano";"Istituto di insegnamento superiore";"Università degli studi di Milano. Dipartimento di scienze chirurgiche specialistiche - Sez. otorinolaringologia e oftalmologia";"Universita' statali"
"IT-MI1281";"Biblioteca Bovisa La Masa del Politecnico di Milano";"Istituto di insegnamento superiore";"Politecnico di Milano";"Universita' statali"
"IT-MI1285";"Biblioteca privata Massimo Gentili-Tedeschi";"Di conservazione";"";"Privati - Famiglie"
"IT-MI1287";"Biblioteca del Dipartimento di scienze cliniche veterinarie dell'Università degli studi di Milano";"Istituto di insegnamento superiore";"Università degli studi di Milano. Dipartimento di scienze cliniche";"Universita' statali"
"IT-MI1288";"Biblioteca nazionale Braidense. Mediateca di Santa Teresa";"Pubblica";"Ministero della Cultura. Biblioteca nazionale Braidense";"Direzione generale Biblioteche e diritto d'autore"
"IT-MI1289";"Biblioteca del Centro APICE - Archivi della parola, dell'immagine e della comunicazione editoriale dell'Università degli studi di Milano";"Istituto di insegnamento superiore";"Università degli studi di Milano";"Universita' statali"
"IT-MI1290";"Biblioteca ragazzi Al segno della luna";"Pubblica";"Comune di Monza";"Comune"
"IT-MI1291";"Biblioteca comunale rionale Zara";"Pubblica";"Comune di Milano";"Comune"
"IT-MI1292";"Biblioteca della Fondazione Abbatia Sancte Marie de Morimundo";"Di conservazione";"Fondazione Abbatia Sancte Marie de Morimundo";"Accademie, associazioni, fondazioni, istituti, societa' (privati)"
"IT-MI1293";"Biblioteca comunale di Tribiano";"Pubblica";"Comune di Tribiano";"Comune"
"IT-MI1294";"Archivio musicale Fondazione Teatro alla Scala";"Specializzata";"Fondazione Teatro alla Scala";"Accademie, associazioni, fondazioni, istituti (pubblici)"
"IT-MI1295";"Biblioteca dell'Istituto europeo Marcello Candia";"Scolastica";"Istituto europeo Marcello Candia";"Accademie, associazioni, fondazioni, istituti, societa' (privati)"
"IT-MI1296";"Biblioteca d'Ateneo. Sede di medicina dell'Università degli studi di Milano-Bicocca";"Istituto di insegnamento superiore";"Università degli studi di Milano-Bicocca. Facoltà di medicina";"Universita' statali"
"IT-MI1297";"Biblioteca d'Ateneo. Sede di scienze dell'Università degli studi di Milano-Bicocca";"Istituto di insegnamento superiore";"Università degli studi di Milano-Bicocca";"Universita' statali"
"IT-MI1300";"Biblioteca dell'Istituto di diritto internazionale. Sezione di diritto ecclesiastico e diritto canonico della Facoltà di giurisprudenza dell'Università degli studi di Milano";"Istituto di insegnamento superiore";"Università degli studi di Milano. Facoltà di giurisprudenza. Istituto di diritto ecclesiastico e diritto canonico";"Universita' statali"
"IT-MI1316";"Mediateca civica Scuola di Cinema Luchino Visconti";"Specializzata";"Scuole Civiche di Milano - Fondazione di partecipazione S.d.p.";"Accademie, associazioni, fondazioni, istituti (pubblici)"
"IT-MI1317";"Mediateca di Milano Civica Scuola Interpreti e Traduttori";"Specializzata";"Scuole Civiche di Milano - Fondazione di partecipazione S.d.p.";"Accademie, associazioni, fondazioni, istituti (pubblici)"
"IT-MI1318";"Mediateca della Civica Scuola di Teatro Paolo Grassi";"Specializzata";"Scuole Civiche di Milano - Fondazione di partecipazione S.d.p.";"Accademie, associazioni, fondazioni, istituti (pubblici)"
"IT-MI1319";"Biblioteca di Scienze dell'antichità e filologia moderna dell'Università degli studi di Milano";"Istituto di insegnamento superiore";"Università degli studi di Milano";"Universita' statali"
"IT-MI1321";"Biblioteca della Fondazione Guido Lodovico Luzzatto";"Specializzata";"Fondazione Guido Lodovico Luzzatto";"Accademie, associazioni, fondazioni, istituti, societa' (privati)"
"IT-MI1323";"Biblioteca del Segretariato regionale per la Lombardia";"Specializzata";"Ministero della Cultura. Segretariato regionale per la Lombardia";"Ministero della Cultura"
"IT-MI1324";"Biblioteca di scienze dell'antichità e filologia moderna. Sezione di papirologia dell'Università degli studi di Milano";"Istituto di insegnamento superiore";"Università degli studi di Milano. Dipartimento di scienze dell'antichità e Dipartimento di filologia moderna";"Universita' statali"
"IT-MI1325";"Biblioteca di scienze dell'antichità e filologia moderna. Sezione di egittologia dell'Università degli studi di Milano";"Istituto di insegnamento superiore";"Università degli studi di Milano. Dipartimento di scienze dell'antichità e Dipartimento di filologia moderna";"Universita' statali"
"IT-MI1326";"Biblioteca Nazionale Giuseppe Dell'Osso dell'Accademia italiana della cucina";"Di conservazione";"Accademia italiana della cucina";"Accademie, associazioni, fondazioni, istituti, societa' (privati)"
"IT-MI1328";"Biblioteca scolastica ""Don Milani""";"Scolastica";"Istituto comprensivo statale ""Don Milani""";"Presidenza del consiglio dei ministri e ministeri"
"IT-MI1329";"Biblioteca della Fondazione Memoria della deportazione";"Specializzata";"Fondazione Memoria della Deportazione Biblioteca Archivio Pina e Aldo Ravelli – Centro Studi e Documentazione sulla Resistenza e sulla Deportazione nei lager nazisti ONLUS";"Accademie, associazioni, fondazioni, istituti, societa' (privati)"
"IT-MI1330";"Sistema Bibliotecario Vimercatese";"Pubblica";"Sistema Bibliotecario Vimercate";"Comune"
"IT-MI1331";"Biblioteca unificata";"Scolastica";"Ministero dell'istruzione, dell'università e della ricerca";"Presidenza del consiglio dei ministri e ministeri"
"IT-MI1334";"Biblioteca di Studi Giuridici e Umanistici - Diritto privato dell'Università degli studi di Milano";"Istituto di insegnamento superiore";"Università degli studi di Milano";"Universita' statali"
"IT-MI1335";"Biblioteca di Studi Giuridici e Umanistici - Diritto pubblico dell'Università degli studi di Milano";"Istituto di insegnamento superiore";"Università degli studi di Milano";"Universita' statali"
"IT-MI1336";"Biblioteca della Sezione di Scienze economiche e diritto tributario dell'Università degli studi di Milano";"Istituto di insegnamento superiore";"MIUR - Università degli Studi di Milano";"Presidenza del consiglio dei ministri e ministeri"
"IT-MI1337";"Biblioteca di Studi Giuridici e Umanistici - Scienze giuridiche ""Cesare Beccaria"" dell'Università degli studi di Milano";"Istituto di insegnamento superiore";"Università degli studi di Milano";"Universita' statali"
"IT-MI1338";"Biblioteca della Fondazione ENI Enrico Mattei";"Specializzata";"Fondazione ENI Enrico Mattei";"Accademie, associazioni, fondazioni, istituti, societa' (privati)"
"IT-MI1339";"Biblioteca del Polo centrale di medicina e chirurgia dell'Università degli studi di Milano";"Istituto di insegnamento superiore";"Università degli studi di Milano";"Presidenza del consiglio dei ministri e ministeri"
"IT-MI1340";"Biblioteche del Polo di mediazione interculturale e comunicazione dell'Università degli studi di Milano";"Istituto di insegnamento superiore";"Università degli studi di Milano";"Universita' statali"
"IT-MI1342";"Biblioteca della Casa di riposo per musicisti Fondazione Giuseppe Verdi";"Specializzata";"Casa di riposo per musicisti Fondazione Giuseppe Verdi";"Accademie, associazioni, fondazioni, istituti, societa' (privati)"
"IT-MI1343";"Biblioteca Centrale Fondazione per Leggere - Castelletto di Abbiategrasso";"Pubblica";"Fondazione per Leggere";"Accademie, associazioni, fondazioni, istituti (pubblici)"
"IT-MI1355";"Biblioteca dell'Archivio di Etnografia e Storia Sociale. AESS";"Specializzata";"Regione Lombardia";"Regione"
"IT-MI1357";"Biblioteca comunale rionale Valvassori Peroni";"Pubblica";"Comune di Milano";"Comune"
"IT-MI1358";"Biblioteca Europea di Informazione e Cultura - BEIC";"Pubblica";"Fondazione Biblioteca Europea di Informazione e Cultura";"Accademie, associazioni, fondazioni, istituti (pubblici)"
"IT-MI1360";"Biblioteca delle Raccolte Artistiche del Castello Sforzesco";"Specializzata";"Comune di Milano";"Comune"
"IT-MI1361";"Biblioteca della Fondazione Museo di Fotografia Contemporanea";"Specializzata";"Fondazione Museo di Fotografia Contemporanea";"Accademie, associazioni, fondazioni, istituti, societa' (privati)"
"IT-MI1362";"Fondo storico dell'Ordine dei Farmacisti delle Province di Milano, Lodi, Monza e Brianza";"Specializzata";"Ordine dei Farmacisti delle Province di Milano, Lodi, Monza e Brianza";"Accademie, associazioni, fondazioni, istituti, societa' (privati)"
"IT-MI1364";"Biblioteca dell'Autorità di Regolazione per Energia Reti e Ambiente";"Specializzata";"ARERA - Autorità di Regolazione per Energia Reti e Ambiente";"Accademie, associazioni, fondazioni, istituti (pubblici)"
"IT-MI1367";"Biblioteca dell'Accademia Teatro alla Scala";"Specializzata";"Accademia Teatro alla Scala";"Accademie, associazioni, fondazioni, istituti (pubblici)"
"IT-MI1956";"Biblioteca comunale Rita Levi Montalcini";"Pubblica";"Comune di Carpiano";"Comune"
"IT-MI1957";"Biblioteca Ambientale";"Pubblica";"Comune di Cassano d'Adda";"Comune"
"IT-MI1958";"Biblioteca di Sesto Ulteriano";"Pubblica";"Comune di San Giuliano Milanese";"Comune"
"IT-MI1959";"Biblioteca comunale";"Pubblica";"Comune di Colturano";"Comune"
"IT-MI1960";"Biblioteca comunale";"Pubblica";"Comune di Peschiera Borromeo";"Comune"
"IT-MI1961";"Biblioteca del Museo delle Culture";"Specializzata";"Comune di Milano";"Comune"
"IT-MI1967";"Centro Civico Integrato Commenda";"Pubblica";"Comune di Segrate";"Comune"
"IT-MI1968";"MUMAC Library - Biblioteca storica del caffè";"Specializzata";"GRUPPO CIMBALI SPA";"Privati - Famiglie"
"IT-MI1969";"Biblioteca ""Regina Gani"" del Liceo Classico statale ""Alessandro Manzoni""";"Scolastica";"Liceo Classico statale ""Alessandro Manzoni"" Milano";"Presidenza del consiglio dei ministri e ministeri"
"IT-MI1970";"Biblioteca del Centro culturale protestante di Milano";"Specializzata";"Centro culturale protestante di Milano";"Accademie, associazioni, fondazioni, istituti (pubblici)"
"IT-MI1971";"Biblioteca Assocalzaturifici";"Specializzata";"Assocalzaturifici italiani";"Accademie, associazioni, fondazioni, istituti, societa' (privati)"
"IT-MI1972";"Biblioteca di Morando della Fondazione Cineteca Italiana";"Specializzata";"Fondazione Cineteca Italiana";"Accademie, associazioni, fondazioni, istituti, societa' (privati)"
"IT-MI1973";"Biblioteca Isola di Libri";"Pubblica";"Associazione Nuova Acropoli Lombardia";"Accademie, associazioni, fondazioni, istituti, societa' (privati)"
"IT-MI1974";"Biblioteca della Fondazione Pirelli";"Di conservazione";"Fondazione Pirelli";"Accademie, associazioni, fondazioni, istituti, societa' (privati)"
"IT-MI1975";"Biblioteca Biomedica di Città Studi";"Istituto di insegnamento superiore";"Università degli studi di Milano";"Universita' statali"
"IT-MI1976";"Biblioteca dell'Associazione NoMus";"Specializzata";"NoMus Associazione culturale no profit. Centro Studi e Ricerche sulla Musica Moderna e Contemporanea";"Accademie, associazioni, fondazioni, istituti, societa' (privati)"
"IT-MI1977";"Biblioteca dell'Ordine degli architetti P.P.C. della provincia di Milano";"Specializzata";"Ordine degli Architetti, Pianificatori, Paesaggisti e Conservatori P.P.C.";"Accademie, associazioni, fondazioni, istituti, societa' (privati)"
"IT-MI1978";"Biblioteca del Civico Archivio Fotografico";"Specializzata";"Comune di Milano";"Comune"
"IT-MI1979";"Centro studi Associazione Saveria Antiochia Osservatorio antimafia - SAO";"Specializzata";"Associazione Saveria Antiochia Osseravotorio antimafia - SAO";"Accademie, associazioni, fondazioni, istituti, societa' (privati)"
"IT-MI1991";"Biblioteca Storica del Politecnico di Milano";"Istituto di insegnamento superiore";"Politecnico di Milano";"Presidenza del consiglio dei ministri e ministeri"
