"codice isil";"denominazione biblioteca";"tipologia funzionale";"denominazione ente";"tipologia amministrativa"
"IT-BZ0258";"Biblioteca dell'Istituto pedagogico provinciale in lingua italiana";"Specializzata";"Provincia autonoma di Bolzano";"Provincia"
"IT-BZ0259";"Biblioteca dell'Istituto provinciale di statistica";"Specializzata";"Provincia autonoma di Bolzano. Istituto provinciale di statistica";"Provincia"
"IT-BZ0260";"Servizio Biblioteca e documentazione";"Specializzata";"Provincia autonoma di Bolzano. Assessorato Formazione professionale. Ripartizione 21";"Provincia"
"IT-BZ0261";"Biblioteca italiana. Punto di prestito di Laghetti";"Pubblica";"Comune di Egna - Gemeinde Neumarkt";"Comune"
"IT-BZ0262";"Biblioteca Centro Don Bosco. Punto di prestito di Pineta di Laives";"Pubblica";"Centro Don Bosco";"Accademie, associazioni, fondazioni, istituti, societa' (privati)"
"IT-BZ0264";"Biblioteca del Conservatorio di musica Claudio Monteverdi";"Specializzata";"Ministero dell'istruzione, dell'università e della ricerca. Conservatorio di musica Claudio Monteverdi";"Presidenza del consiglio dei ministri e ministeri"
"IT-BZ0266";"Biblioteca del Convento dei Cappuccini. Kapuzinerbibliothek";"Specializzata";"Frati minori Cappuccini di Brunico - Kapuzinerkloster Brunek";"Enti ecclesiastici"
"IT-BZ0267";"Biblioteca comunale";"Pubblica";"Comune di Cortina sulla Strada del Vino";"Comune"
"IT-BZ0268";"Biblioteca Johann Stephan Raffeiner";"Pubblica";"Comune di Malles Venosta. Mals";"Comune"
"IT-BZ0270";"Biblioteca del Club alpino italiano - CAI";"Specializzata";"Club alpino italiano - CAI Alto Adige. Sezione di Bolzano";"Aziende ed amministrazioni dello stato ad ordinamento autonomo"
"IT-BZ0271";"Biblioteca universitaria della Libera Università di Bolzano";"Istituto di insegnamento superiore";"Libera Università di Bolzano";"Universita' non statali"
"IT-BZ0272";"Biblioteca universitaria. Sede di Bressanone della Libera Università di Bolzano";"Istituto di insegnamento superiore";"Libera Università di Bolzano. Biblioteca universitaria. Sede di Bressanone";"Universita' non statali"
"IT-BZ0274";"Biblioteca provinciale italiana Claudia Augusta";"Di conservazione";"Provincia di Bolzano";"Provincia"
"IT-BZ0275";"Biblioteca della sede di Bressanone. Università degli studi di Padova";"Istituto di insegnamento superiore";"Università degli studi di Padova";"Universita' statali"
"IT-BZ0276";"Biblioteca dell'Istituto Marcelline";"Pubblica";"Istituto Marcelline";"Enti ecclesiastici"
